Name,Company,Type,Distillation,ABV,Location,Score,nRatings,Price,Aged,Distilled,bAveScore
XOX,Punta Cana,Aged,,40.0%,Dominican Republic,8.4,94.0,,,,8.03734998037214
VSOP 4-Year,Rhum JM,Agricole,Column Still (1-4),43.0%,Martinique,6.7,94.0,,4.0,,6.641123336046601
3-Year,El Dorado,Light,,40.0%,Guyana,6.0,92.0,,3.0,,6.0673839960258515
5-Year,Doorly's,Aged,Pot and Column Still,40.0%,Barbados,6.6,91.0,,5.0,,6.557888530515704
Don Pancho Reserva Especial 18-Year,Origenes,Aged,,40.0%,Panama,7.8,91.0,,18.0,,7.5376883901575304
Carta Oro,Bacardi,Gold,,40.0%,Puerto Rico,4.2,90.0,,,,4.601894823056424
Master Reserve 30-Year,Zafra,Aged,,,Panama,9.4,90.0,,30.0,,8.839055110300901
Bardinet Signature Dark 2-Year,Negrita,Dark,,37.5%,Martinique,2.9,90.0,,2.0,,3.542604751245304
Clasico 10-Year,Matusalem,Aged,,40.0%,Dominican Republic,5.8,90.0,,10.0,,5.905636449900878
Extra Anejo 12-Year,Santiago de Cuba,Aged,,40.0%,Cuba,7.0,90.0,,12.0,,6.883442670034219
Selección de Familia,Diplomatico,Aged,,,Venezuela,8.3,89.0,46.99,,,7.939468576395767
XO Jamaica,Mezan,Aged,,40.0%,Multiple,6.9,89.0,,,,6.8010630669813805
Centenario 15,Ron Zacapa,Aged,,40.0%,Guatemala,7.1,89.0,,,,6.96369242546915
Spiced,Beach House,Spiced,,40.0%,Mauritius,6.8,89.0,,,,6.719748387737495
12-Year,Ron Esclavo,Aged,,40.0%,Dominican Republic,6.7,88.0,,12.0,,6.637866022601215
14-Year,Doorly's,Aged,Pot and Column Still,48.0%,Barbados,8.7,87.0,,14.0,,8.256625528669927
7-Year,Capitan Bucanero,Aged,,40.0%,Dominican Republic,6.0,87.0,,7.0,,6.07051955490725
Esplendido,Punta Cana,Aged,,40.0%,Dominican Republic,7.5,86.0,,,,7.283003386250053
Spiced,Baron Samedi,Spiced,,40.0%,Multiple,7.1,86.0,,,,6.959851020070501
Select Barrel,Clement,Agricole,Column Still (1-4),40.0%,Martinique,6.4,86.0,,,,6.394334379256285
Estate Reserve 15-Year,Barbancourt,Aged,,,Haiti,7.5,86.0,58.99,15.0,,7.283003386250053
Siglo de Oro,Brugal,Aged,,40.0%,Dominican Republic,7.9,85.0,,,,7.603369213460068
2001,Diplomatico,Aged,,,Venezuela,8.7,85.0,,,2001.0,8.248216446289213
Demerara Solera No 14,Rum Nation,Aged,,40.0%,Italy,7.0,85.0,,,,6.877916076527279
Razz,Bacardi,Flavored,,,Puerto Rico,3.1,85.0,,,,3.734285816485193
2008 Premise 10-Year,Foursquare,Aged,Pot and Column Still,46.0%,Barbados,8.2,84.0,,10.0,2008.0,7.841790003342819
Finest Carribean 5-Year,Black Tot,Aged,,,United Kingdom,6.6,84.0,,5.0,,6.555066352194347
Single Estate Reserve 6-10 Years,Worthy Park,Aged,Pot Still,45.0%,Jamaica,7.5,84.0,,,,7.278848405965363
15-Year,Opthimus,Aged,,40.0%,Dominican Republic,7.0,84.0,,15.0,,6.876747264981465
Reserva 1863,Austrian Empire,Aged,,40.0%,United Kingdom,7.5,84.0,,,,7.278848405965363
151,Lemon Hart,Light,,,Guyana,7.9,83.0,35.99,,,7.597634521036159
Black Spiced,Black Magic,Aged,,,Multiple,6.5,83.0,,,,6.474401043771197
Reserva Limitada,Bacardi,Aged,,40.0%,Puerto Rico,7.7,82.0,,,,7.434607207857522
Old Navy,Wood's 100,Dark,,,Guyana,7.2,82.0,,,,7.034417195925225
2008 12-Year,Foursquare,Aged,Pot and Column Still,60.0%,Barbados,9.0,82.0,,12.0,2008.0,8.475101238881495
2005,Diplomatico,Aged,,,Venezuela,8.6,81.0,,,2005.0,8.150562389267318
Ron Anejo,Legendario,Aged,,40.0%,Cuba,6.2,80.0,,,,6.234714856889552
Navy Strength 55%,A. H. Riise,Gold,,,Denmark,7.3,80.0,,,,7.1107609755083
Non Plus Ultra Black edition,A. H. Riise,Aged,,,Denmark,8.6,80.0,,,,8.146088206603185
Perfeccion,Kaniche,Aged,,40.0%,Barbados,7.9,80.0,,,,7.588604312936708
